04.02.2025 20:42:44 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_DTsc_IEL_donnee.pdf
04.02.2025 20:42:44 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_DT_PELE_corrige.pdf
04.02.2025 20:42:45 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_DT_PELE_donnee.pdf
04.02.2025 20:42:45 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_DT_TLM_corrige.pdf
04.02.2025 20:42:46 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_DT_TLM_donnee.pdf
04.02.2025 20:42:46 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_TC_IEL_corrige.pdf
04.02.2025 20:42:47 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_TC_IEL_donnee.pdf
04.02.2025 20:42:47 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_TC_PELE_corrige.pdf
04.02.2025 20:42:47 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_TC_PELE_donnee.pdf
04.02.2025 20:42:48 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_TR_TLM_corrige.pdf
04.02.2025 20:42:49 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_TR_TLM_donnee.pdf
04.02.2025 20:42:50 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_TS_ELM_corrige.pdf
04.02.2025 20:42:50 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_TS_ELM_donnee.pdf
04.02.2025 20:42:50 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_TS_IEL_corrige.pdf
04.02.2025 20:42:51 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_TS_IEL_donnee.pdf
