04.02.2025 13:02:24 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_TC_IEL_donnee.pdf
04.02.2025 13:02:24 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_TC_PELE_corrige.pdf
04.02.2025 13:02:24 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_TC_PELE_donnee.pdf
04.02.2025 13:02:25 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_TR_TLM_corrige.pdf
04.02.2025 13:02:26 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_TR_TLM_donnee.pdf
04.02.2025 13:02:26 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_TS_ELM_corrige.pdf
04.02.2025 13:02:27 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_TS_ELM_donnee.pdf
04.02.2025 13:02:27 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_TS_IEL_corrige.pdf
04.02.2025 13:02:28 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_TS_IEL_donnee.pdf
04.02.2025 13:02:28 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_TS_PELE_corrige.pdf
04.02.2025 13:02:29 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_TS_PELE_donnee.pdf
04.02.2025 13:02:29 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_TS_TLM_corrige.pdf
04.02.2025 13:02:29 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2014_TS_TLM_donnee.pdf
04.02.2025 13:02:30 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_BT_ELM_corrige.pdf
04.02.2025 13:02:30 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_BT_ELM_donnee.pdf
04.02.2025 13:02:30 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_BT_IEL_corrige.pdf
04.02.2025 13:02:30 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_BT_IEL_donnee.pdf
04.02.2025 13:02:31 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_BT_PELE_corrige.pdf
04.02.2025 13:02:31 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_BT_PELE_donnee.pdf
04.02.2025 13:02:31 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_BT_TLM_corrige.pdf
04.02.2025 13:02:31 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_BT_TLM_donnee.pdf
04.02.2025 13:02:31 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_DTno_ELM_corrige.pdf
04.02.2025 13:02:32 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_DTno_ELM_donnee.pdf
04.02.2025 13:02:32 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_DTno_IEL_corrige.pdf
04.02.2025 13:02:32 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_DTno_IEL_donnee.pdf
04.02.2025 13:02:32 : Extraction : C:\Downloaded Web Sites\github_old_cfc\oldcfc\pdf_files\2015_DTpl_ELM_corrige.pdf
